repo_name,sha,author_login,author_name,authored_at,committed_at,message_title,parent_count,is_merge_commit
Anamika1608,8fdd6377baf07bf333164d1a9228e7da6a72e410,Anamika1608,Anamika Aggarwal,2025-04-06T14:50:47Z,2025-04-06T14:50:47Z,Update README.md,1,false
Anamika1608,8771ba205f66a1fa72e9bbe46082b05ff960b822,Anamika1608,Anamika Aggarwal,2025-04-06T14:51:25Z,2025-04-06T14:51:25Z,Update README.md,1,false
Anamika1608,c93b3bca1c352a7c9ff40cd171aa4be9f1bd1c1d,Anamika1608,Anamika Aggarwal,2025-04-10T12:45:46Z,2025-04-10T12:45:46Z,Update README.md,1,false
Anamika1608,3ea108fcc8ad93772b20234f210a3308a6f0a64a,Anamika1608,Anamika Aggarwal,2025-04-20T18:22:25Z,2025-04-20T18:22:25Z,Update README.md,1,false
Anamika1608,fd6046c17ce2410fa5296164eb758aede16b9541,Anamika1608,Anamika Aggarwal,2025-04-20T18:28:30Z,2025-04-20T18:28:30Z,Update README.md,1,false
Anamika1608,847f2f4ebaac47200f2aa9e120f03bf729d190d5,Anamika1608,Anamika Aggarwal,2025-04-20T18:29:56Z,2025-04-20T18:29:56Z,Update README.md,1,false
Anamika1608,d7581de0cff835652b25021339df05d29e66be9c,Anamika1608,Anamika Aggarwal,2025-04-20T18:30:44Z,2025-04-20T18:30:44Z,Update README.md,1,false
Anamika1608,8fc5ebf29ba1cf2250050b5e00bc66926645883d,Anamika1608,Anamika Aggarwal,2025-06-05T05:16:26Z,2025-06-05T05:16:26Z,Update README.md,1,false
Anamika1608,17424428859d69ee11d092aeb859e2d8d2b4fba4,Anamika1608,Anamika Aggarwal,2025-06-20T15:14:17Z,2025-06-20T15:14:17Z,Update README.md,1,false
Anamika1608,0e819a493bb5d44411860501f7797a3c6dcbdc2d,Anamika1608,Anamika Aggarwal,2025-06-20T15:15:22Z,2025-06-20T15:15:22Z,Update README.md,1,false
Anamika1608,89ac60a8fc46c0c617b1ba2dadf33c1dd0867007,Anamika1608,Anamika Aggarwal,2025-07-10T14:38:48Z,2025-07-10T14:38:48Z,Update README.md,1,false
Anamika1608,ec6b3b2fafab1ef6252126184d877e1b2acc71e4,Anamika1608,Anamika Aggarwal,2025-08-04T10:09:52Z,2025-08-04T10:09:52Z,Update README.md,1,false
Anamika1608,f102737de9adf63f8349bd3cfd2246efd12f08af,Anamika1608,Anamika Aggarwal,2025-09-12T18:12:28Z,2025-09-12T18:12:28Z,Update README.md,1,false
Anamika1608,cc68e61127ff31ab79d4cc67cd599f356e77ca4d,Anamika1608,Anamika Aggarwal,2025-09-24T16:17:26Z,2025-09-24T16:17:26Z,Update README.md,1,false
Anamika1608,18242b160ce19e9694bac4d407043353ff41c5ff,Anamika1608,Anamika Aggarwal,2025-09-24T16:17:53Z,2025-09-24T16:17:53Z,Update README.md,1,false
Anamika1608,fc9889f19ace0a7a3c93af9467a133769f57a79e,Anamika1608,Anamika Aggarwal,2025-10-01T17:35:57Z,2025-10-01T17:35:57Z,Update README.md,1,false
Anamika1608,c80aed14fba2e4aedf78cd295891c2a5534241fc,Anamika1608,Anamika Aggarwal,2025-10-17T16:49:25Z,2025-10-17T16:49:25Z,Update README.md,1,false
Detoxie,cb2f297b038aa68f616ba147960eac85e2b6a70d,Anamika1608,Anamika Aggarwal,2025-06-21T11:04:08Z,2025-06-21T11:04:08Z,Initial commit,0,false
Detoxie,2a6a7cd5c52d3aa77cf6c265effc32421f3d8236,Anamika1608,Anamika Aggarwal,2025-06-21T11:59:55Z,2025-06-21T11:59:55Z,Integrate Nativewind,1,false
Detoxie,f47c02c3a793eaaadd03cf7e3f55483f1954dc9b,Anamika1608,Anamika Aggarwal,2025-06-21T15:52:59Z,2025-06-21T15:52:59Z,Integrate ReelsMonitorService for reels section,1,false
Detoxie,814cfbabd8476104195ccb6eb51a1a52b29f2e2e,Anamika1608,Anamika Aggarwal,2025-06-22T05:57:29Z,2025-06-22T05:57:29Z,Add reel time tracking,1,false
